order_id,customer_id,order_date,category,product,quantity,price,sales
1,4814,2025-01-07,Electronics,Laptop,3,1200,3600
2,3358,2024-12-03,Clothing,Shoes,2,80,160
3,3119,2024-07-11,Electronics,Smartphone,4,699,2796
4,4815,2023-02-26,Clothing,Jeans,1,50,50
5,4062,2024-08-07,Toys,Action Figure,1,25,25
6,4733,2024-06-23,Clothing,Jacket,3,100,300
7,1522,2024-04-04,Books,Non-Fiction Book,2,20,40
8,2948,2024-04-15,Home & Kitchen,Toaster,4,30,120
9,1176,2023-08-21,Home & Kitchen,Blender,3,60,180
10,2254,2024-08-31,Clothing,T-Shirt,1,20,20
11,1213,2024-03-02,Clothing,T-Shirt,2,20,40
12,3453,2023-07-03,Home & Kitchen,Blender,1,60,60
13,3776,2024-08-17,Electronics,Smartwatch,1,250,250
14,2497,2024-10-25,Toys,Doll,3,30,90
15,2317,2023-04-27,Toys,Board Game,2,40,80
16,3784,2023-12-02,Home & Kitchen,Toaster,2,30,60
17,4634,2024-01-23,Toys,Doll,3,30,90
18,4219,2024-07-12,Books,Comics,1,10,10
19,4450,2024-06-10,Electronics,Smartwatch,2,250,500
20,3336,2024-09-18,Electronics,Headphones,2,150,300
21,3042,2023-03-29,Home & Kitchen,Blender,2,60,120
22,3457,2023-09-06,Clothing,T-Shirt,1,20,20
23,2566,2025-01-19,Clothing,Shoes,4,80,320
24,4746,2025-01-24,Toys,Board Game,3,40,120
25,3580,2024-03-27,Toys,Board Game,1,40,40
26,3898,2024-07-02,Clothing,Jeans,4,50,200
27,2725,2023-06-30,Books,Fiction Book,2,15,30
28,4749,2023-06-15,Toys,Lego Set,1,60,60
29,2758,2024-10-05,Electronics,Headphones,3,150,450
30,3901,2024-09-21,Books,Fiction Book,2,15,30
31,2788,2024-12-22,Clothing,Jeans,3,50,150
32,1139,2023-06-19,Clothing,Shoes,2,80,160
33,2809,2024-05-25,Home & Kitchen,Coffee Maker,3,100,300
34,4021,2024-03-01,Toys,Lego Set,4,60,240
35,2138,2024-10-02,Electronics,Headphones,4,150,600
36,4762,2024-03-16,Books,Fiction Book,1,15,15
37,1029,2024-01-17,Toys,Action Figure,3,25,75
38,1061,2023-05-13,Clothing,Shoes,2,80,160
39,1997,2025-01-05,Books,Cookbook,4,25,100
40,3546,2024-06-12,Toys,Lego Set,4,60,240
41,1127,2023-11-30,Clothing,Jeans,4,50,200
42,3650,2023-09-24,Toys,Doll,1,30,30
43,3211,2023-03-07,Electronics,Headphones,4,150,600
44,1258,2024-05-11,Books,Cookbook,3,25,75
45,3756,2023-12-17,Home & Kitchen,Toaster,1,30,30
46,4428,2023-03-11,Electronics,Smartphone,3,699,2097
47,3625,2024-01-14,Books,Fiction Book,4,15,60
48,1558,2024-04-16,Toys,Lego Set,1,60,60
49,2318,2025-01-24,Toys,Action Figure,3,25,75
50,1203,2024-06-05,Books,Non-Fiction Book,3,20,60
51,4863,2024-05-27,Toys,Action Figure,4,25,100
52,4006,2023-02-26,Clothing,T-Shirt,1,20,20
53,4494,2023-05-19,Home & Kitchen,Microwave,3,150,450
54,1415,2023-05-02,Electronics,Smartwatch,4,250,1000
55,1987,2023-11-24,Books,Non-Fiction Book,3,20,60
56,1537,2023-09-06,Toys,Lego Set,1,60,60
57,3388,2024-06-11,Electronics,Headphones,4,150,600
58,3615,2024-07-20,Home & Kitchen,Coffee Maker,1,100,100
59,3050,2024-01-05,Clothing,Shoes,1,80,80
60,4811,2023-09-30,Home & Kitchen,Microwave,2,150,300
61,4361,2023-08-08,Clothing,Shoes,4,80,320
62,4569,2023-06-27,Electronics,Laptop,3,1200,3600
63,1407,2024-04-25,Home & Kitchen,Coffee Maker,2,100,200
64,4246,2024-09-10,Electronics,Laptop,4,1200,4800
65,2692,2024-03-12,Clothing,T-Shirt,1,20,20
66,1587,2024-07-14,Clothing,Shoes,2,80,160
67,2820,2023-03-16,Electronics,Smartwatch,3,250,750
68,2425,2024-07-11,Toys,Board Game,4,40,160
